id,texto,emocion,texto_en2esp_marian
63,i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants,fear,Siento que estamos presionados a ser jóvenes hermosas delgadas y dependiendo de la tendencia de tener las niñas rejuvenecidas o implantes de culo
64,i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations,fear,Empecé a tenerlas varias veces a la semana sintiéndome torturada por las alucinaciones que movían a la gente y figuras de sonidos y vibraciones.
65,i am now nearly finished the week detox and i feel amazing,surprise,Ya casi termino la semana de desintoxicación y me siento increíble.
66,i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,anger,Me siento egoísta mientras leo de nuevo a mis posts anteriores cómo nunca he pedido oraciones por otros cómo nunca he considerado que puede haber otros por ahí que merecen sus oraciones contestadas antes de la mía
67,i know the pain parents feel when an enraged child becomes violent,anger,Sé que el dolor que sienten los padres cuando un niño enfurecido se vuelve violento
68,i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,sadness,He estado en una montaña rusa de emociones por estos supuestos sentimientos de que algo desagradable venía
69,i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith,love,Supongo que mi propia verdad necesita ser compartida No me he sentido muy fiel últimamente he vivido más en la duda y la incertidumbre de lo que tengo en la fe
70,i was feeling brave when i bought it and clearly when i was doing my makeup,joy,Me sentía valiente cuando lo compré y claramente cuando estaba maquillando
71,i am feeling miserable but c i am also the proudest mum on earth,sadness,"Me siento miserable, pero también soy la madre más orgullosa de la tierra."
72,i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,sadness,Me imagino que mi familia nos ama no importa lo que pase pero alrededor de cualquier otro me siento avergonzado cuando Michelle se vuelve balística
73,i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals,joy,No creo necesariamente que f bombas y el sexo son necesarios en todas las historias pero me siento tranquilizado cuando los veo en revistas impresas
74,i can feel my ovaries aching talking to me as i like to put it,sadness,Puedo sentir el dolor de mis ovarios hablándome como me gusta decirlo.
75,i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff,sadness,No tenía ganas de hacer mucho chris y sobre todo tomé demasiadas fotos de cosas sin importancia.
76,im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well,sadness,Estoy cansado del libro y listo para sacarlo de aquí y descubrir que me dieron imágenes inadecuadas y luego sentirme culpado por el resultado no se sentó bien
77,i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs,joy,Me las arreglé con éxito para estirar un lienzo mxm siento que esto es un logro en sí mismo para mí y fue un uso digno de mi dinero y el tiempo voy a utilizar el lienzo para futuros informes
78,i think feelings are one of nay the most important things we have,joy,Creo que los sentimientos son una de las cosas más importantes que tenemos.
79,i feel completely honored to be an influence to this young talented fully alive beautiful girl woman,joy,Me siento completamente honrado de ser una influencia para esta joven talentosa totalmente viva hermosa chica mujer
80,i feel angered and firey,anger,Me siento enojado y ardiente.
81,i feel like a miserable piece of garbage,sadness,Me siento como un miserable pedazo de basura.
82,i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,anger,Siento que necesito hacer una lista de magra se horrorizaría con el pensamiento para que no me pierda nada.
83,i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,anger,Conduje a Dannika a la escuela me sentía un poco apresurada y esto es lo que me saludó mientras daba la vuelta a la esquina
84,i remember feeling so hellip furious with the shooter,anger,Recuerdo que me sentí tan furioso con el tirador.
85,i feel very happy and excited since i learned so many things,joy,Me siento muy feliz y emocionado ya que aprendí tantas cosas
86,i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,joy,Siento que en shows y alrededor de show caballos la gente confía y se relaja porque la mayoría de los show caballos son seguros y tranquilos y se manejan con frecuencia
87,i only have a couple of things left to make and at the start of december i am done and feeling smug,joy,Sólo tengo un par de cosas que hacer y al principio de diciembre estoy hecho y sintiéndome engreído
88,i think about how u could make me feel and realize that everything will be ok,joy,Pienso en cómo podrías hacerme sentir y darme cuenta de que todo va a estar bien.
89,i feel so worthless during those times i was struggling finding work,sadness,Me siento tan inútil durante esos tiempos que estaba luchando encontrar trabajo
90,i will be able to lay on my bed in the dark and not feel terrified at least for a while,fear,Voy a ser capaz de tumbarme en mi cama en la oscuridad y no sentirme aterrorizado al menos por un tiempo
91,i was ready to meet mom in the airport and feel her ever supportive arms around me,love,Estaba listo para conocer a mamá en el aeropuerto y sentir sus brazos de apoyo siempre alrededor de mí
92,im feeling bitter today my mood has been strange the entire day so i guess its that,anger,Me siento amargado hoy mi estado de ánimo ha sido extraño todo el día así que supongo que es que
93,when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,sadness,Cuando mi hermano de mamá falleció después de haber estado involucrado en un accidente de coche me traía un regalo ya que había pasado mis cinco exámenes de forma con los colores de vuelo
94,i am letting go of the animosity that is towards anyone that i feel has wronged me,anger,Estoy dejando ir la animosidad que es hacia cualquiera que siento que me ha hecho daño
95,i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home,love,Hablo con perros como siento que no pueden entender las palabras pero pueden leer emociones y saber cómo ser de apoyo Decidí que debería ir a casa
96,i feel like throwing away the shitty piece of shit paper,sadness,Tengo ganas de tirar el pedazo de papel de mierda.
97,im starting to feel wryly amused at the banal comedy of errors my life is turning into,joy,Empiezo a sentirme irónicamente divertido con la comedia banal de errores que mi vida se está convirtiendo en
98,i find every body beautiful and only want people to feel vital in their bodies,joy,Encuentro cada cuerpo hermoso y sólo quiero que la gente se sienta vital en sus cuerpos
99,i hear are owners who feel victimized by their associations the associations attorneys or the property manager,sadness,He oído a los propietarios que se sienten victimizados por sus asociaciones los abogados de las asociaciones o el administrador de la propiedad
100,i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,anger,Me despido de la familia están todos tristes un llanto y me siento como una perra sin corazón porque ey im bastante emocionado de estar volando por primera vez y sabes también para pasar un año en otro país
101,i wont let me child cry it out because i feel that loving her and lily when she was little was going to be opportunities that only lasted for those short few months,love,No voy a dejar que mi hijo llore porque siento que amarla y Lily cuando era pequeña iba a ser oportunidades que sólo duraron por esos pocos meses
102,i alba i feel good and im fitting in,joy,i alba me siento bien y estoy encajando en
103,i feel excited about what im doing again i feel like i have a ton of catching up to do,joy,Me siento emocionado por lo que estoy haciendo otra vez. Siento que tengo un montón de cosas que hacer.
104,i also know how good it feels to look back and see that i honored my word and that helps from the start,joy,También sé lo bien que se siente mirar atrás y ver que honré mi palabra y eso ayuda desde el principio
105,i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness,sadness,Quiero decir realmente muy duro trabajo para obtener una habilidad técnica tan alta en wushu se siente un poco avergonzado pero de alguna manera motivado cuando vi niños haciendo actuaciones wushu con todo corazón a pesar de su cansancio
106,i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me,joy,Siento como si las cosas se están volviendo un poco abrumadoras un poco de tóner realmente ayuda a calmarme y calmarme
107,i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger,joy,Espero que te des cuenta de cómo se requiere tan poco esfuerzo para hacer que una persona se sienta mejor sobre sí misma o su situación si es un miembro de la familia una universidad o amigo de la escuela secundaria un vecino en la calle o incluso un completo extraño
108,i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street,joy,Me siento tan festiva hoy que incluso voy a poner el árbol tan pronto como termine de hacer esto y ponerse al día con los acontecimientos de la semana en la calle de la coronación
109,finding out that i am not ill not seriously,joy,descubrir que no estoy enfermo no en serio
110,i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling,sadness,"Lo hice bien en clase, pero una combinación de sentimiento de ser un hombre sin éxito manejó el estrés de tarde y mi horrible semana resultó en mi casi llorar después de que terminé de luchar"
111,i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face,joy,Siento que rara vez avanza cualquier causa que valga la pena y siempre me apego a la regla de no publicar nada en línea que no estaría preparado para decirle a alguien cara
112,i am feeling all useful,joy,Me siento muy útil.
113,i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain,love,Siento que algunos de ustedes tienen dolores y no pueden imaginarse apasionándose por el grupo o la idea que está causando dolor.
114,i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair,sadness,Me siento fea estoy más inclinada a usar pantalones vaqueros y una sudadera que un hermoso vestido aunque todavía podría usar un par de tacones alrededor de mi casa para aumentar mi autoestima siempre tan ligeramente pero definitivamente no me molestaría en comprar un nuevo par
115,im not feeling homesick yet so im feeling alright about this,sadness,No siento nostalgia aún así que me siento bien sobre esto
116,i dance i should feel pretty,joy,"Yo bailo, debería sentirme bonita."
117,i workout every morning before and feel fabulous for it,joy,Me entreno todas las mañanas antes y me siento fabuloso por ello
118,i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain,sadness,"Siento todo esto sólo de sus ojos no de su tacto o de sus palabras, sino de sus ojos sé que puedo sin duda devolver este amor y saber que no será en vano"
119,i was feeling fabulous until friday morning when i started to get these awful cramps at work,joy,Me sentía fabulosa hasta el viernes por la mañana cuando empecé a tener estos horribles calambres en el trabajo.
120,i feel honoured to have been able to call them friends to share their brotherhood,joy,Me siento honrado de haber sido capaz de llamarlos amigos para compartir su hermandad
121,i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,fear,Había empezado a sentirme aprensiva cuando espesas nubes negras de lluvia irrumpieron en el cielo por encima de la ciudad.
122,i had stated to her the reason i feel so fearful is because i feel unsafe,fear,Le dije que la razón por la que siento tanto miedo es porque me siento inseguro.
123,i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch,fear,No tenía ganas de ser sacudido por la tsa todavía así que me fui a un lado en croissants creativos para un almuerzo
124,i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet,sadness,Me meto en grupos me siento muy incómodo y sobrecompensado por ser demasiado hablador o por estar muy callado
125,i am very excited to finally meet that companion that companion who will be with me at all times especially when i am lonely very lonely that companion who will never disappoint me that companion who will put his arms around me and make me feel loved,love,"Estoy muy emocionado de conocer finalmente a ese compañero que estará conmigo en todo momento, especialmente cuando estoy solo, muy solo, ese compañero que nunca me decepcionará, ese compañero que pondrá sus brazos alrededor de mí y me hará sentir amado."
126,i feel they are pretty safe on my blog img src http s,joy,Siento que son bastante seguros en mi blog img src http s
127,i feel pretty eager to get it done as i have a fun plan for quilting it,joy,Me siento muy ansioso por hacerlo ya que tengo un plan divertido para acolcharlo
128,i am feeling horny so i ask her that lets go home,love,Me siento cachonda así que le pido que se vaya a casa.
129,i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love,fear,Creo que si un poema no me presiona no me siento incómodo en el sentido de sentirme más de lo que puedo sentir entender más de lo que puedo entender amar más de lo que soy capaz de estar enamorado
130,i too feel as if i am a stranger in a strange land and i am raising my son in a place that is not his father s ancestral home,surprise,Yo también siento como si fuera un extraño en una tierra extraña y estoy criando a mi hijo en un lugar que no es el hogar ancestral de su padre.
131,i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful,joy,Me fui a la ducha cuestionando lo que siento que ella era hermosa como un cuerpo fantástico tan confiado en su movimiento sin esfuerzo elegante
132,i feel energetic and bouncy i m more than happy to go to the gym run around outside with my kids or take the pram for a long walk often i do all three in one day,joy,"Me siento enérgico y hinchado, estoy más que feliz de ir al gimnasio, correr afuera con mis hijos o tomar el cochecito para un largo paseo, a menudo hago los tres en un día."
133,i was still feeling strong,joy,Todavía me sentía fuerte.
134,i didn t burst into tears or some other devastating release of feelings or thoughts because i seemed to know that rich also had to go through his own space without me just dumping on him,joy,Yo no irrumpí en lágrimas o alguna otra liberación devastadora de sentimientos o pensamientos porque parecía saber que rico también tenía que ir a través de su propio espacio sin que me acaba de tirar sobre él
135,i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter,anger,"Quería un café con especias de calabaza esta mañana pero estaba caliente y lo último que quería era un café caliente, tal vez me siento un poco amargo."
136,i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it,fear,Supongo que se siente mal porque era un poco escéptico de su dolor en los últimos meses ella tenía un hábito de hipercondria y exageración en el pasado aunque nunca la cuestionó abiertamente
137,i clench to the corners of the bed to feel assured,joy,apriete a las esquinas de la cama para sentirse seguro
138,i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it,anger,También siento que estoy siendo egoísta en no estar agradecido por la vida que tengo y las cosas asombrosas en ella
139,i called it god because i d seen god in a book and figured god was the right name for feeling so utterly affirmed and accepted without question,love,Lo llamé Dios porque vi a Dios en un libro y pensé que Dios era el nombre correcto para sentirme tan completamente afirmado y aceptado sin dudarlo.
140,i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious,anger,No sé por qué tal vez porque otras chicas en la oficina tenían buen pelo corto o tal vez me sentía rebelde
141,i do not feel miserable at all because my family is not the type that celebrates eid,sadness,No me siento miserable en absoluto porque mi familia no es el tipo que celebra Eid
142,i might go get a car wash if i am feeling really generous my car needs it,joy,Podría ir a buscar un lavado de coches si me siento muy generoso mi coche lo necesita
143,i still feel sleep deprived she is almost sleeping through the night giving us,sadness,Todavía me siento privado del sueño ella está casi durmiendo a través de la noche dándonos
144,i just feel really violent right now,anger,Me siento muy violento ahora mismo.
145,i am bloging again i am sitting here feeling content with my dogs amp cat etc and i know that how lucky we are the truth is we,joy,Estoy blogueando de nuevo estoy sentado aquí sintiéndose contento con mis perros amp cat etc y sé que lo afortunados que somos la verdad es que
146,i started feeling funny and then friday i woke up sick as a dog,surprise,Empecé a sentirme rara y luego el viernes me desperté enferma como un perro
147,i feel a need to protect my parents against the witch hunt that repressed memory therapy can be,sadness,Siento la necesidad de proteger a mis padres contra la caza de brujas que la terapia reprimida de la memoria puede ser
148,i feel disgusted to even be associated with this woman by my race and nationality,anger,Me da asco estar asociado con esta mujer por mi raza y nacionalidad.
149,i laughed then bitterly again but i wasnt feeling bitter,anger,"Me reí amargamente, pero no me sentía amargado."
150,i couldn t know what he was feeling then i thought that he wished he could have been there with us too for each of us knew that however much we hated it at first it was an experience we would remember forever,sadness,No podía saber lo que estaba sintiendo entonces pensé que deseaba haber estado allí con nosotros también para cada uno de nosotros sabía que por mucho que lo odiáramos al principio era una experiencia que recordaríamos para siempre
151,i was feeling quite mellow and i wanted a soft easy look to wear with my beginning of a cold,joy,Me sentía bastante suave y quería una mirada suave y fácil de usar con mi comienzo de un resfriado
152,i told him that maybe i just need time to think how ive been feeling indecisive about things lately,fear,Le dije que tal vez sólo necesito tiempo para pensar lo indeciso que se siente últimamente sobre las cosas.
153,i still feel it does the genre a disservice when stories are resolved artifically,joy,Todavía siento que hace el género un flaco servicio cuando las historias se resuelven artificialmente
154,i always know when i am feeling artistic when i write my name while i am in an artistic mood the i in manitz i draw a circle not a dot the bigger the dot the more artistic i am feeling and if it is just a line like an accent mark in spanish im pissed,joy,Siempre sé cuando me siento artística cuando escribo mi nombre mientras estoy en un estado de ánimo artístico el i en manitz dibujo un círculo no un punto más grande el punto más artístico me siento y si es sólo una línea como una marca de acento en español im enojado
155,i remember feeling really terrified when i was in brazil on a bus that was going up steep mountain hills on the side of the mountain in the middle of a big storm wondering if we were going to fall off,fear,Recuerdo que me sentí muy aterrorizado cuando estaba en Brasil en un autobús que iba a subir colinas de montaña empinadas en el lado de la montaña en medio de una gran tormenta preguntándome si íbamos a caernos
156,i could feel her whimper to the thought of being unloved and uncared for,sadness,Podía sentir su gemido a la idea de no ser amado y sin cuidado por
157,im certainly not going to sit and tell you whats going on in my personal life but i feel that if you were ever curious about whats going in my life all youd have to do is watch the show,surprise,Ciertamente no voy a sentarme y decirte lo que está pasando en mi vida personal pero siento que si alguna vez tuvieras curiosidad sobre lo que está pasando en mi vida todo lo que tendrías que hacer es ver el show
158,im sorry that there wasnt more humor in this post but im not feeling all that funny,surprise,Siento que no haya más humor en este post pero no me siento tan gracioso
159,i feel ive got my foot in the door of the fantastic world of walking and running the trails fells and mountains,joy,Siento que tengo mi pie en la puerta del fantástico mundo de caminar y correr los senderos y montañas
160,i say whatever comes in my mind tell you directly what i feel a jealous girl not because i m insecure but because i just love that person a trust worthy friend sweet to the one i love,anger,Digo lo que me viene a la mente te digo directamente lo que me siento una chica celosa no porque estoy inseguro sino porque me encanta esa persona un amigo digno de confianza dulce a la que amo
161,i feel strange coming back to work after my one day holiday,fear,Me siento extraño volviendo al trabajo después de mis vacaciones de un día
162,im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,anger,Im claramente influenciado por la alegría de emily dickinson por ejemplo y uso guiones en lugar de colones o semi colones para mejorar los sentimientos de enjambre apresurado en el soneto
163,i am fatter because the only thing in my life that can remain under my control is whether or not i get to eat peanut butter on bread when i get home from an impossible day of to first world looking yet third world feeling hell of needy and neglected little girls,sadness,Estoy más gorda porque la única cosa en mi vida que puede permanecer bajo mi control es si puedo o no comer mantequilla de maní en el pan cuando llego a casa de un día imposible de primer mundo mirando aún tercer mundo sintiendo infierno de niñas necesitadas y descuidadas
